$ DerivativeCompressCRC,$ DerivativeExtractCRC,$ Compress,$ Extract,$ DerivativeGZIPCRC,$ ZipMeTest,$Base,$ Adaptation,$CRC,$ArchiveCheck,$GZIP,$Adler32Checksum,$DerivativeCompressGZIP,$DerivativeCompressAdler32Checksum,$Check,$DerivativeCompressGZIPCRC,$<BinarySearch
0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,89244.0
0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,91132.0
0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,91389.0
0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,91421.0
0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,91678.0
0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,95415.0
0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,95704.0
0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,97849.0
0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,98138.0
0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,95672.0
0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,98106.0
0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,95961.0
0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,98395.0
0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,95415.0
0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,95672.0
0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,95704.0
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,95961.0
0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,97849.0
0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,98138.0
0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,98106.0
0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,98395.0
