$Operations,$Eval_Neg,$ToString_Plus,$Neg,$Eval_Plus,$base,$Plus,$Numbers,$Eval,$ToString,$ToString_Numbers,$ToString_Neg,$Eval_Numbers,$<BinarySize
1,0,0,0,0,1,0,0,0,1,0,1,0,5005.0
1,0,0,0,0,1,0,0,0,1,1,1,0,5005.0
1,0,0,0,1,1,0,0,0,1,0,0,0,5005.0
1,0,0,0,1,1,0,0,0,1,0,1,0,5005.0
1,0,0,0,1,1,0,0,0,1,1,0,0,5005.0
1,0,0,0,1,1,0,0,0,1,1,1,0,5005.0
1,1,0,0,0,1,0,0,0,1,0,0,0,5005.0
1,1,0,0,0,1,0,0,0,1,1,0,0,5005.0
1,1,0,0,1,1,0,0,0,1,0,0,0,5005.0
1,1,0,0,1,1,0,0,0,1,1,0,0,5005.0
1,1,0,0,0,1,0,0,0,1,0,1,0,5005.0
1,1,0,0,1,1,0,0,0,1,0,1,0,5005.0
1,1,0,0,0,1,0,0,0,1,1,1,0,5005.0
1,1,0,0,1,1,0,0,0,1,1,1,0,5005.0
1,0,1,0,0,1,0,0,0,1,0,0,0,5005.0
1,0,1,0,0,1,0,0,0,1,1,0,0,5005.0
1,0,1,0,0,1,0,0,0,1,0,1,0,5005.0
1,0,1,0,0,1,0,0,0,1,1,1,0,5005.0
1,1,1,0,0,1,0,0,0,1,0,0,0,5005.0
1,1,1,0,0,1,0,0,0,1,0,1,0,5005.0
1,1,1,0,0,1,0,0,0,1,1,0,0,5005.0
1,1,1,0,0,1,0,0,0,1,1,1,0,5005.0
1,0,1,0,1,1,0,0,0,1,0,0,0,5005.0
1,0,1,0,1,1,0,0,0,1,1,0,0,5005.0
1,1,1,0,1,1,0,0,0,1,0,0,0,5005.0
1,1,1,0,1,1,0,0,0,1,1,0,0,5005.0
1,0,1,0,1,1,0,0,0,1,0,1,0,5005.0
1,1,1,0,1,1,0,0,0,1,0,1,0,5005.0
1,0,1,0,1,1,0,0,0,1,1,1,0,5005.0
1,1,1,0,1,1,0,0,0,1,1,1,0,5005.0
1,0,0,0,0,1,1,0,0,1,0,0,0,5308.0
1,0,0,0,0,1,1,0,0,1,1,0,0,5308.0
1,0,0,0,0,1,1,0,0,1,0,1,0,5308.0
1,0,0,0,0,1,1,0,0,1,1,1,0,5308.0
1,0,0,0,1,1,1,0,0,1,0,0,0,5005.0
1,0,0,0,1,1,1,0,0,1,0,1,0,5005.0
1,0,0,0,1,1,1,0,0,1,1,0,0,5005.0
1,0,0,0,1,1,1,0,0,1,1,1,0,5005.0
1,0,1,0,0,1,1,0,0,1,0,0,0,5308.0
1,0,1,0,0,1,1,0,0,1,1,0,0,5308.0
1,0,1,0,1,1,1,0,0,1,0,0,0,5005.0
1,0,1,0,1,1,1,0,0,1,1,0,0,5005.0
1,0,1,0,0,1,1,0,0,1,0,1,0,5308.0
1,0,1,0,1,1,1,0,0,1,0,1,0,5005.0
1,0,1,0,0,1,1,0,0,1,1,1,0,5308.0
1,0,1,0,1,1,1,0,0,1,1,1,0,5005.0
1,1,0,0,0,1,1,0,0,1,0,0,0,5005.0
1,1,0,0,0,1,1,0,0,1,1,0,0,5005.0
1,1,0,0,0,1,1,0,0,1,0,1,0,5005.0
1,1,0,0,0,1,1,0,0,1,1,1,0,5005.0
1,1,1,0,0,1,1,0,0,1,0,0,0,5005.0
1,1,1,0,0,1,1,0,0,1,0,1,0,5005.0
1,1,1,0,0,1,1,0,0,1,1,0,0,5005.0
1,1,1,0,0,1,1,0,0,1,1,1,0,5005.0
1,1,0,0,1,1,1,0,0,1,0,0,0,5005.0
1,1,0,0,1,1,1,0,0,1,1,0,0,5005.0
1,1,1,0,1,1,1,0,0,1,0,0,0,5005.0
1,1,1,0,1,1,1,0,0,1,1,0,0,5005.0
1,1,0,0,1,1,1,0,0,1,0,1,0,5005.0
1,1,1,0,1,1,1,0,0,1,0,1,0,5005.0
1,1,0,0,1,1,1,0,0,1,1,1,0,5005.0
1,1,1,0,1,1,1,0,0,1,1,1,0,5005.0
1,0,0,0,0,1,0,1,0,1,0,0,0,5254.0
1,0,0,0,0,1,0,1,0,1,1,0,0,5254.0
1,0,0,0,0,1,0,1,0,1,0,1,0,5254.0
1,0,0,0,0,1,0,1,0,1,1,1,0,5254.0
1,0,0,0,1,1,0,1,0,1,0,0,0,5254.0
1,0,0,0,1,1,0,1,0,1,0,1,0,5254.0
1,0,0,0,1,1,0,1,0,1,1,0,0,5254.0
1,0,0,0,1,1,0,1,0,1,1,1,0,5254.0
1,1,0,0,0,1,0,1,0,1,0,0,0,5005.0
1,1,0,0,0,1,0,1,0,1,1,0,0,5005.0
1,1,0,0,1,1,0,1,0,1,0,0,0,5005.0
1,1,0,0,1,1,0,1,0,1,1,0,0,5005.0
1,1,0,0,0,1,0,1,0,1,0,1,0,5005.0
1,1,0,0,1,1,0,1,0,1,0,1,0,5005.0
1,1,0,0,0,1,0,1,0,1,1,1,0,5005.0
1,1,0,0,1,1,0,1,0,1,1,1,0,5005.0
1,0,1,0,0,1,0,1,0,1,0,0,0,5254.0
1,0,1,0,0,1,0,1,0,1,1,0,0,5254.0
1,0,1,0,0,1,0,1,0,1,0,1,0,5254.0
1,0,1,0,0,1,0,1,0,1,1,1,0,5254.0
1,1,1,0,0,1,0,1,0,1,0,0,0,5005.0
1,1,1,0,0,1,0,1,0,1,0,1,0,5005.0
1,1,1,0,0,1,0,1,0,1,1,0,0,5005.0
1,1,1,0,0,1,0,1,0,1,1,1,0,5005.0
1,0,1,0,1,1,0,1,0,1,0,0,0,5254.0
1,0,1,0,1,1,0,1,0,1,1,0,0,5254.0
1,1,1,0,1,1,0,1,0,1,0,0,0,5005.0
1,1,1,0,1,1,0,1,0,1,1,0,0,5005.0
1,0,1,0,1,1,0,1,0,1,0,1,0,5254.0
1,1,1,0,1,1,0,1,0,1,0,1,0,5005.0
1,0,1,0,1,1,0,1,0,1,1,1,0,5254.0
1,1,1,0,1,1,0,1,0,1,1,1,0,5005.0
1,0,0,0,0,1,1,1,0,1,0,0,0,5557.0
1,0,0,0,0,1,1,1,0,1,1,0,0,5557.0
1,0,0,0,0,1,1,1,0,1,0,1,0,5557.0
1,0,0,0,0,1,1,1,0,1,1,1,0,5557.0
1,0,0,0,1,1,1,1,0,1,0,0,0,5254.0
1,0,0,0,1,1,1,1,0,1,0,1,0,5254.0
1,0,0,0,1,1,1,1,0,1,1,0,0,5254.0
1,0,0,0,1,1,1,1,0,1,1,1,0,5254.0
1,0,1,0,0,1,1,1,0,1,0,0,0,5557.0
1,0,1,0,0,1,1,1,0,1,1,0,0,5557.0
1,0,1,0,1,1,1,1,0,1,0,0,0,5254.0
1,0,1,0,1,1,1,1,0,1,1,0,0,5254.0
1,0,1,0,0,1,1,1,0,1,0,1,0,5557.0
1,0,1,0,1,1,1,1,0,1,0,1,0,5254.0
1,0,1,0,0,1,1,1,0,1,1,1,0,5557.0
1,0,1,0,1,1,1,1,0,1,1,1,0,5254.0
1,1,0,0,0,1,1,1,0,1,0,0,0,5005.0
1,1,0,0,0,1,1,1,0,1,1,0,0,5005.0
1,1,0,0,0,1,1,1,0,1,0,1,0,5005.0
1,1,0,0,0,1,1,1,0,1,1,1,0,5005.0
1,1,1,0,0,1,1,1,0,1,0,0,0,5005.0
1,1,1,0,0,1,1,1,0,1,0,1,0,5005.0
1,1,1,0,0,1,1,1,0,1,1,0,0,5005.0
1,1,1,0,0,1,1,1,0,1,1,1,0,5005.0
1,1,0,0,1,1,1,1,0,1,0,0,0,5005.0
1,1,0,0,1,1,1,1,0,1,1,0,0,5005.0
1,1,1,0,1,1,1,1,0,1,0,0,0,5005.0
1,1,1,0,1,1,1,1,0,1,1,0,0,5005.0
1,1,0,0,1,1,1,1,0,1,0,1,0,5005.0
1,1,1,0,1,1,1,1,0,1,0,1,0,5005.0
1,1,0,0,1,1,1,1,0,1,1,1,0,5005.0
1,1,1,0,1,1,1,1,0,1,1,1,0,5005.0
1,0,0,1,0,1,0,0,0,1,0,0,0,5266.0
1,0,0,1,0,1,0,0,0,1,1,0,0,5266.0
1,0,0,1,0,1,0,0,0,1,0,1,0,5266.0
1,0,0,1,0,1,0,0,0,1,1,1,0,5266.0
1,0,0,1,1,1,0,0,0,1,0,0,0,5266.0
1,0,0,1,1,1,0,0,0,1,0,1,0,5266.0
1,0,0,1,1,1,0,0,0,1,1,0,0,5266.0
1,0,0,1,1,1,0,0,0,1,1,1,0,5266.0
1,1,0,1,0,1,0,0,0,1,0,0,0,5005.0
1,1,0,1,0,1,0,0,0,1,1,0,0,5005.0
1,1,0,1,1,1,0,0,0,1,0,0,0,5005.0
1,1,0,1,1,1,0,0,0,1,1,0,0,5005.0
1,1,0,1,0,1,0,0,0,1,0,1,0,5005.0
1,1,0,1,1,1,0,0,0,1,0,1,0,5005.0
1,1,0,1,0,1,0,0,0,1,1,1,0,5005.0
1,1,0,1,1,1,0,0,0,1,1,1,0,5005.0
1,0,1,1,0,1,0,0,0,1,0,0,0,5266.0
1,0,1,1,0,1,0,0,0,1,1,0,0,5266.0
1,0,1,1,0,1,0,0,0,1,0,1,0,5266.0
1,0,1,1,0,1,0,0,0,1,1,1,0,5266.0
1,1,1,1,0,1,0,0,0,1,0,0,0,5005.0
1,1,1,1,0,1,0,0,0,1,0,1,0,5005.0
1,1,1,1,0,1,0,0,0,1,1,0,0,5005.0
1,1,1,1,0,1,0,0,0,1,1,1,0,5005.0
1,0,1,1,1,1,0,0,0,1,0,0,0,5266.0
1,0,1,1,1,1,0,0,0,1,1,0,0,5266.0
1,1,1,1,1,1,0,0,0,1,0,0,0,5005.0
1,1,1,1,1,1,0,0,0,1,1,0,0,5005.0
1,0,1,1,1,1,0,0,0,1,0,1,0,5266.0
1,1,1,1,1,1,0,0,0,1,0,1,0,5005.0
1,0,1,1,1,1,0,0,0,1,1,1,0,5266.0
1,1,1,1,1,1,0,0,0,1,1,1,0,5005.0
1,0,0,1,0,1,0,1,0,1,0,0,0,5515.0
1,0,0,1,0,1,0,1,0,1,1,0,0,5515.0
1,0,0,1,0,1,0,1,0,1,0,1,0,5515.0
1,0,0,1,0,1,0,1,0,1,1,1,0,5515.0
1,0,0,1,1,1,0,1,0,1,0,0,0,5515.0
1,0,0,1,1,1,0,1,0,1,0,1,0,5515.0
1,0,0,1,1,1,0,1,0,1,1,0,0,5515.0
1,0,0,1,1,1,0,1,0,1,1,1,0,5515.0
1,0,1,1,0,1,0,1,0,1,0,0,0,5515.0
1,0,1,1,0,1,0,1,0,1,1,0,0,5515.0
1,0,1,1,1,1,0,1,0,1,0,0,0,5515.0
1,0,1,1,1,1,0,1,0,1,1,0,0,5515.0
1,0,1,1,0,1,0,1,0,1,0,1,0,5515.0
1,0,1,1,1,1,0,1,0,1,0,1,0,5515.0
1,0,1,1,0,1,0,1,0,1,1,1,0,5515.0
1,0,1,1,1,1,0,1,0,1,1,1,0,5515.0
1,1,0,1,0,1,0,1,0,1,0,0,0,5005.0
1,1,0,1,0,1,0,1,0,1,1,0,0,5005.0
1,1,0,1,0,1,0,1,0,1,0,1,0,5005.0
1,1,0,1,0,1,0,1,0,1,1,1,0,5005.0
1,1,1,1,0,1,0,1,0,1,0,0,0,5005.0
1,1,1,1,0,1,0,1,0,1,0,1,0,5005.0
1,1,1,1,0,1,0,1,0,1,1,0,0,5005.0
1,1,1,1,0,1,0,1,0,1,1,1,0,5005.0
1,1,0,1,1,1,0,1,0,1,0,0,0,5005.0
1,1,0,1,1,1,0,1,0,1,1,0,0,5005.0
1,1,1,1,1,1,0,1,0,1,0,0,0,5005.0
1,1,1,1,1,1,0,1,0,1,1,0,0,5005.0
1,1,0,1,1,1,0,1,0,1,0,1,0,5005.0
1,1,1,1,1,1,0,1,0,1,0,1,0,5005.0
1,1,0,1,1,1,0,1,0,1,1,1,0,5005.0
1,1,1,1,1,1,0,1,0,1,1,1,0,5005.0
1,0,0,1,0,1,1,0,0,1,0,0,0,5569.0
1,0,0,1,0,1,1,0,0,1,1,0,0,5569.0
1,0,0,1,0,1,1,0,0,1,0,1,0,5569.0
1,0,0,1,0,1,1,0,0,1,1,1,0,5569.0
1,0,0,1,1,1,1,0,0,1,0,0,0,5266.0
1,0,0,1,1,1,1,0,0,1,0,1,0,5266.0
1,0,0,1,1,1,1,0,0,1,1,0,0,5266.0
1,0,0,1,1,1,1,0,0,1,1,1,0,5266.0
1,1,0,1,0,1,1,0,0,1,0,0,0,5005.0
1,1,0,1,0,1,1,0,0,1,1,0,0,5005.0
1,1,0,1,1,1,1,0,0,1,0,0,0,5005.0
1,1,0,1,1,1,1,0,0,1,1,0,0,5005.0
1,1,0,1,0,1,1,0,0,1,0,1,0,5005.0
1,1,0,1,1,1,1,0,0,1,0,1,0,5005.0
1,1,0,1,0,1,1,0,0,1,1,1,0,5005.0
1,1,0,1,1,1,1,0,0,1,1,1,0,5005.0
1,0,1,1,0,1,1,0,0,1,0,0,0,5569.0
1,0,1,1,0,1,1,0,0,1,1,0,0,5569.0
1,0,1,1,0,1,1,0,0,1,0,1,0,5569.0
1,0,1,1,0,1,1,0,0,1,1,1,0,5569.0
1,1,1,1,0,1,1,0,0,1,0,0,0,5005.0
1,1,1,1,0,1,1,0,0,1,0,1,0,5005.0
1,1,1,1,0,1,1,0,0,1,1,0,0,5005.0
1,1,1,1,0,1,1,0,0,1,1,1,0,5005.0
1,0,1,1,1,1,1,0,0,1,0,0,0,5266.0
1,0,1,1,1,1,1,0,0,1,1,0,0,5266.0
1,1,1,1,1,1,1,0,0,1,0,0,0,5005.0
1,1,1,1,1,1,1,0,0,1,1,0,0,5005.0
1,0,1,1,1,1,1,0,0,1,0,1,0,5266.0
1,1,1,1,1,1,1,0,0,1,0,1,0,5005.0
1,0,1,1,1,1,1,0,0,1,1,1,0,5266.0
1,1,1,1,1,1,1,0,0,1,1,1,0,5005.0
1,0,0,1,0,1,1,1,0,1,0,0,0,6924.0
1,0,0,1,0,1,1,1,0,1,1,0,0,6924.0
1,0,0,1,0,1,1,1,0,1,0,1,0,6924.0
1,0,0,1,0,1,1,1,0,1,1,1,0,6924.0
1,0,0,1,1,1,1,1,0,1,0,0,0,5515.0
1,0,0,1,1,1,1,1,0,1,0,1,0,5515.0
1,0,0,1,1,1,1,1,0,1,1,0,0,5515.0
1,0,0,1,1,1,1,1,0,1,1,1,0,5515.0
1,0,1,1,0,1,1,1,0,1,0,0,0,6924.0
1,0,1,1,0,1,1,1,0,1,1,0,0,6924.0
1,0,1,1,1,1,1,1,0,1,0,0,0,5515.0
1,0,1,1,1,1,1,1,0,1,1,0,0,5515.0
1,0,1,1,0,1,1,1,0,1,0,1,0,6924.0
1,0,1,1,1,1,1,1,0,1,0,1,0,5515.0
1,0,1,1,0,1,1,1,0,1,1,1,0,6924.0
1,0,1,1,1,1,1,1,0,1,1,1,0,5515.0
1,1,0,1,0,1,1,1,0,1,0,0,0,5005.0
1,1,0,1,0,1,1,1,0,1,1,0,0,5005.0
1,1,0,1,0,1,1,1,0,1,0,1,0,5005.0
1,1,0,1,0,1,1,1,0,1,1,1,0,5005.0
1,1,1,1,0,1,1,1,0,1,0,0,0,5005.0
1,1,1,1,0,1,1,1,0,1,0,1,0,5005.0
1,1,1,1,0,1,1,1,0,1,1,0,0,5005.0
1,1,1,1,0,1,1,1,0,1,1,1,0,5005.0
1,1,0,1,1,1,1,1,0,1,0,0,0,5005.0
1,1,0,1,1,1,1,1,0,1,1,0,0,5005.0
1,1,1,1,1,1,1,1,0,1,0,0,0,5005.0
1,1,1,1,1,1,1,1,0,1,1,0,0,5005.0
1,1,0,1,1,1,1,1,0,1,0,1,0,5005.0
1,1,1,1,1,1,1,1,0,1,0,1,0,5005.0
1,1,0,1,1,1,1,1,0,1,1,1,0,5005.0
1,1,1,1,1,1,1,1,0,1,1,1,0,5005.0
1,0,0,1,0,1,1,1,1,0,0,1,0,4984.0
1,0,0,1,1,1,1,1,1,0,0,1,0,4984.0
1,1,0,1,0,1,1,1,1,0,0,1,0,5317.0
1,1,0,1,1,1,1,1,1,0,0,1,0,5317.0
1,0,0,1,0,1,1,1,1,0,0,1,1,4984.0
1,1,0,1,0,1,1,1,1,0,0,1,1,5622.0
1,0,0,1,1,1,1,1,1,0,0,1,1,4984.0
1,1,0,1,1,1,1,1,1,0,0,1,1,7231.0
1,0,0,1,0,1,1,1,1,1,0,0,0,5026.0
1,0,0,1,0,1,1,1,1,1,1,0,0,5026.0
1,0,0,1,0,1,1,1,1,1,0,1,0,5026.0
1,0,0,1,0,1,1,1,1,1,1,1,0,5026.0
1,1,0,1,0,1,1,1,1,1,0,0,0,5359.0
1,1,0,1,0,1,1,1,1,1,0,1,0,5359.0
1,1,0,1,0,1,1,1,1,1,1,0,0,5359.0
1,1,0,1,0,1,1,1,1,1,1,1,0,5359.0
1,0,0,1,1,1,1,1,1,1,0,0,0,5026.0
1,0,0,1,1,1,1,1,1,1,1,0,0,5026.0
1,1,0,1,1,1,1,1,1,1,0,0,0,5359.0
1,1,0,1,1,1,1,1,1,1,1,0,0,5359.0
1,0,0,1,1,1,1,1,1,1,0,1,0,5026.0
1,1,0,1,1,1,1,1,1,1,0,1,0,5359.0
1,0,0,1,1,1,1,1,1,1,1,1,0,5026.0
1,1,0,1,1,1,1,1,1,1,1,1,0,5359.0
1,0,0,1,0,1,1,1,1,1,0,0,1,5026.0
1,0,0,1,0,1,1,1,1,1,1,0,1,5026.0
1,0,0,1,0,1,1,1,1,1,0,1,1,5026.0
1,0,0,1,0,1,1,1,1,1,1,1,1,5026.0
1,0,0,1,1,1,1,1,1,1,0,0,1,5026.0
1,0,0,1,1,1,1,1,1,1,0,1,1,5026.0
1,0,0,1,1,1,1,1,1,1,1,0,1,5026.0
1,0,0,1,1,1,1,1,1,1,1,1,1,5026.0
1,1,0,1,0,1,1,1,1,1,0,0,1,5664.0
1,1,0,1,0,1,1,1,1,1,1,0,1,5664.0
1,1,0,1,1,1,1,1,1,1,0,0,1,7697.0
1,1,0,1,1,1,1,1,1,1,1,0,1,7697.0
1,1,0,1,0,1,1,1,1,1,0,1,1,5664.0
1,1,0,1,1,1,1,1,1,1,0,1,1,7697.0
1,1,0,1,0,1,1,1,1,1,1,1,1,5664.0
1,1,0,1,1,1,1,1,1,1,1,1,1,7697.0
1,0,1,1,0,1,1,1,1,1,0,0,0,5026.0
1,0,1,1,0,1,1,1,1,1,1,0,0,5026.0
1,0,1,1,0,1,1,1,1,1,0,1,0,5026.0
1,0,1,1,0,1,1,1,1,1,1,1,0,5026.0
1,1,1,1,0,1,1,1,1,1,0,0,0,5359.0
1,1,1,1,0,1,1,1,1,1,0,1,0,5359.0
1,1,1,1,0,1,1,1,1,1,1,0,0,5359.0
1,1,1,1,0,1,1,1,1,1,1,1,0,5359.0
1,0,1,1,0,1,1,1,1,1,0,0,1,5026.0
1,0,1,1,0,1,1,1,1,1,1,0,1,5026.0
1,1,1,1,0,1,1,1,1,1,0,0,1,5664.0
1,1,1,1,0,1,1,1,1,1,1,0,1,5664.0
1,0,1,1,0,1,1,1,1,1,0,1,1,5026.0
1,1,1,1,0,1,1,1,1,1,0,1,1,5664.0
1,0,1,1,0,1,1,1,1,1,1,1,1,5026.0
1,1,1,1,0,1,1,1,1,1,1,1,1,5664.0
1,0,1,1,1,1,1,1,1,1,0,0,0,5026.0
1,0,1,1,1,1,1,1,1,1,1,0,0,5026.0
1,0,1,1,1,1,1,1,1,1,0,1,0,5026.0
1,0,1,1,1,1,1,1,1,1,1,1,0,5026.0
1,0,1,1,1,1,1,1,1,1,0,0,1,5026.0
1,0,1,1,1,1,1,1,1,1,0,1,1,5026.0
1,0,1,1,1,1,1,1,1,1,1,0,1,5026.0
1,0,1,1,1,1,1,1,1,1,1,1,1,5026.0
1,1,1,1,1,1,1,1,1,1,0,0,0,5359.0
1,1,1,1,1,1,1,1,1,1,1,0,0,5359.0
1,1,1,1,1,1,1,1,1,1,0,0,1,7697.0
1,1,1,1,1,1,1,1,1,1,1,0,1,7697.0
1,1,1,1,1,1,1,1,1,1,0,1,0,5359.0
1,1,1,1,1,1,1,1,1,1,0,1,1,7697.0
1,1,1,1,1,1,1,1,1,1,1,1,0,5359.0
1,1,1,1,1,1,1,1,1,1,1,1,1,7697.0
