$InterTypeFields,$InterTypeConstructors,$AspectConstructors,$InterfaceMethods,$Advice,$ClassFields,$CodeFormatter,$AspectFields,$States,$InterfaceFields,$Base,$InterTypeMethods,$Classes,$ClassMethods,$Aspects,$AspectMethods,$Interfaces,$ClassConstructors,$Pointcuts,$<AnalysisTime
0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,11871.0
1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,11958.5
0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,12290.5
0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,11711.0
1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,11986.0
1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,11906.0
0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,11882.5
1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,11788.0
0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,11904.5
1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,11860.5
0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,11844.0
1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,12068.0
0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,11863.0
1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,11914.5
0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,11882.0
1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,11884.5
1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,12064.0
0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,12090.0
1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,11821.0
0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,11833.5
1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,11941.5
0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,12193.5
0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,12187.0
1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,12108.5
0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,11990.5
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,11960.0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,11845.0
0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,11949.0
1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,11923.5
0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,12141.5
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11959.5
0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11929.5
1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11892.0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11998.0
0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11928.5
1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11757.0
1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11844.5
0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,11873.0
1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,11918.5
0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,12428.0
1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,11945.0
0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11809.5
0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11914.5
1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11934.5
1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11743.0
1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,12065.5
0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11820.0
1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,12088.5
0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11801.5
1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,11940.0
1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11789.0
0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,12073.0
1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,11876.5
0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,11892.0
1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,12007.0
0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,11947.0
0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,11900.5
1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,11888.5
1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,11738.0
0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,11933.5
1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,11864.5
0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,12256.5
1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,11895.0
0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,11821.5
0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,11988.5
1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,11869.0
1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,11915.5
1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,11866.5
1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,12031.0
0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,11817.0
0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,11803.0
1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,11874.0
1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,12198.5
0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,11922.0
0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,11916.5
1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,11922.5
0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,11825.0
0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,11866.0
1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,11836.0
0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,12096.0
1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,11893.0
0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,11867.0
1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,12074.0
0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,11886.5
0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,11930.5
0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,11897.0
1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,12084.0
0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,11875.0
0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,11741.0
0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,11930.0
1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,11816.0
1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,11831.0
1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,11959.5
0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,11820.0
1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,11877.0
0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,12098.5
0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,12246.0
1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,12038.0
0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,12043.0
0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,11876.0
1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,11950.0
0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,11923.0
1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,11905.5
0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,11896.5
0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,12046.5
1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,11913.0
0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,11948.5
1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,11937.5
0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,11864.5
1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,12099.0
0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,11938.0
0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,11826.5
1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,12028.5
1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,11924.5
0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,12015.5
0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,11992.0
0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,12209.5
1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,12022.5
1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,11978.5
0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,12079.5
1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,12037.5
0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,12059.5
0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,11986.0
1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,11972.0
1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,11880.5
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11966.0
1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,12004.0
0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11869.5
1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11996.0
0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11907.0
0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11910.5
1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11845.5
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,12025.5
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,11877.5
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,12367.5
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11905.0
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11911.0
1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11820.5
0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11959.0
1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,12407.5
0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,12174.0
0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,11849.0
1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,12009.0
1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,12164.5
0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,11940.5
0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,12239.5
1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,12011.5
0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,11987.5
0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,11900.0
1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,11961.5
1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,12206.5
0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,12350.0
1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,12011.5
0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,12001.0
0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,11974.5
0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11878.5
1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11967.0
0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11982.0
1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,12018.5
0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11986.0
0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,12224.5
1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,12246.0
1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,11773.5
0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,11906.0
0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,12012.0
1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,12280.5
0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,12161.0
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,12028.5
1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,11855.5
0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,11897.0
1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,12246.0
0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,11980.0
1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,12279.0
1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,11871.0
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11899.0
1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,12134.5
0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,12312.0
1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11974.0
1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11909.0
0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,11985.5
1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,12402.0
0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,12286.0
1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,12041.5
0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,11994.5
0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,11977.0
1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,12251.5
0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,11973.0
0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,11992.5
0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,11956.5
1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,12230.5
1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,12074.5
1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,12408.0
1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,11876.5
1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,12127.0
1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,12220.5
1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,11925.5
0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,12214.0
1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,11979.5
1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,11881.5
0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,12303.0
1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,12057.5
1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,11887.5
1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,12170.5
0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11885.5
1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,12094.0
0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,11929.0
1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,11880.0
1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,11990.5
1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,12211.0
0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,12194.5
1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,12238.0
0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,12294.5
1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,12338.0
1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,11873.5
0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,12016.5
1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,12229.5
0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,12263.5
0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,11875.5
1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,12102.5
0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,11945.0
0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,12025.5
0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,12403.5
0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,12038.5
1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,12504.5
0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,12162.5
0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,11962.5
1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,12018.5
0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,12070.5
0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,11947.5
0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,11994.0
0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,12005.5
1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,11937.5
1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,12001.0
0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,11989.0
1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,12029.5
0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,12344.0
1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,12103.5
0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,12283.5
1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,12031.0
1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,12098.5
0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,12003.5
1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,12019.0
0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,12007.0
0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,12195.0
